player_id,team_id,player_name,team,position,assists,attempt_at_goal_on_target,attempt_at_goal,attempt_at_goal_conversion_rate,attempt_at_goal_inside_the_penalty_area,attempt_at_goal_outside_the_penalty_area,headed_attempt_at_goal,xg,xg_goal_effiency_rate,corners,source_tab,story_id,classification
430698,285023_43843,Houssem Aouar,Algeria,MF,2,1,3,0,1,2,0,0.24,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
441234,285023_43928,Julio Enciso,Paraguay,FW,2,1,8,13,6,2,1,0.74,1.36x,2,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
433378,285023_43888,Hannibal Mejbri,Tunisia,MF,2,1,3,0,0,3,0,0.06,0x,4,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
400721,285023_43872,Achraf Hakimi,Morocco,DF,2,4,13,8,6,7,0,0.91,1.1x,17,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
344654,285023_43855,Mohamed Salah,Egypt,FW,2,4,9,11,7,2,1,0.95,1.05x,14,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
423941,285023_43899,Nathan Saliba,Canada,MF,2,1,3,33,1,2,1,0.3,3.36x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
448815,285023_43879,Iliman Ndiaye,Senegal,FW,2,2,3,33,2,1,0,0.21,4.76x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
402261,285023_43854,Nicolas Pepe,Côte d'Ivoire,FW,1,3,6,33,5,1,0,1.42,1.41x,6,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
431788,285023_43879,Pape Gueye,Senegal,MF,1,3,8,25,1,7,0,0.37,5.4x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
504193,285023_43883,Tshepang Moremi,South Africa,FW,1,0,0,0,0,0,0,0.0,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
510922,285023_43854,Yan Diomande,Côte d'Ivoire,FW,1,0,4,0,3,1,1,0.26,0x,11,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
494293,285023_43872,Chemsdine Talbi,Morocco,MF,1,0,2,0,1,1,0,0.05,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
370171,285023_43879,Abdoulaye Seck,Senegal,DF,1,0,2,0,1,1,1,0.05,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
418795,285023_43879,Nicolas Jackson,Senegal,FW,1,3,7,0,6,1,2,0.56,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
433426,285023_43872,Soufiane Rahimi,Morocco,FW,1,4,6,33,5,1,2,1.59,1.26x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
430854,285023_43854,Wilfried Singo,Côte d'Ivoire,DF,1,0,2,0,2,0,0,0.14,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
431781,285023_43908,Jean Kevin Duverne,Haiti,DF,1,0,1,0,1,0,0,0.03,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
401889,285023_43879,Ismaila Sarr,Senegal,FW,1,6,17,24,15,2,2,3.68,1.09x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
408950,285023_43855,Mohamed Hany,Egypt,DF,1,0,4,0,0,4,0,0.09,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
493970,285023_43899,Promise David,Canada,FW,1,3,5,20,3,2,1,0.75,1.34x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
430831,285023_43854,Ibrahim Sangare,Côte d'Ivoire,MF,1,0,1,0,0,1,0,0.0,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
486213,285023_43860,Brandon Thomas Asante,Ghana,FW,1,0,0,0,0,0,0,0.0,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
494313,285023_43850,Yannick Semedo,Cabo Verde,MF,1,0,1,0,0,1,0,0.01,0x,2,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
464842,285023_43879,Lamine Camara,Senegal,MF,1,0,3,0,0,3,0,0.14,0x,5,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
407022,285023_43855,Karim Hafez,Egypt,DF,1,0,0,0,0,0,0,0.0,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
483161,285023_43855,Mostafa Zico,Egypt,MF,1,2,7,14,6,1,2,0.61,1.63x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
448607,285023_43872,Chadi Riad,Morocco,DF,1,0,1,0,1,0,1,0.12,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:1
363863,285023_43855,Trezeguet,Egypt,FW,1,3,6,17,4,2,2,0.58,1.73x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
430690,285023_43879,Moussa Niakhate,Senegal,DF,1,0,1,0,1,0,1,0.06,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
448525,285023_43860,Ernest Nuamah,Ghana,FW,1,0,0,0,0,0,0,0.0,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
353790,285023_43879,Sadio Mane,Senegal,FW,1,3,6,0,4,2,0,0.58,0x,1,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
395084,285023_43822,Hwang Inbeom,Korea Republic,MF,1,2,4,25,2,2,0,0.37,2.74x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
379942,285023_43843,Riyad Mahrez,Algeria,FW,1,3,6,33,4,2,0,1.49,1.34x,5,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
403304,285023_43819,Takefusa Kubo,Japan,MF,1,0,1,0,0,1,0,0.01,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
433074,285023_43818,Amir Alammari,Iraq,MF,1,0,0,0,0,0,0,0.0,0x,3,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
355642,285023_43850,Ryan Mendes,Cabo Verde,FW,1,0,6,0,3,3,0,0.07,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
430413,285023_43819,Ayase Ueda,Japan,FW,1,4,9,22,5,4,2,0.63,3.15x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
391646,285023_43819,Ritsu Doan,Japan,MF,1,0,1,0,0,1,0,0.02,0x,1,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
436572,285023_20014,Arthur Masuaku,Congo DR,DF,1,0,0,0,0,0,0,0.0,0x,6,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
431230,285023_43820,Noor Alrawabdeh,Jordan,MF,1,0,1,0,0,1,0,0.03,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
400511,285023_43819,Kou Itakura,Japan,DF,1,0,0,0,0,0,0,0.0,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
384797,285023_43817,Ramin Rezaeian,IR Iran,DF,1,2,4,50,4,0,0,0.97,2.06x,7,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
389437,285023_43820,Ehsan Haddad,Jordan,DF,1,0,1,0,1,0,0,0.03,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
479294,285023_43819,Kaishu Sano,Japan,MF,1,1,1,100,0,1,0,0.09,11.52x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
418490,285023_43822,Lee Kangin,Korea Republic,MF,1,1,4,0,1,3,0,0.15,0x,9,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
356532,285023_20014,Chancel Mbemba,Congo DR,DF,1,0,1,0,1,0,0,0.05,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
405522,285023_43819,Keito Nakamura,Japan,MF,1,2,5,20,2,3,0,0.17,5.98x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
403293,285023_43819,Koki Ogawa,Japan,FW,1,0,3,0,3,0,2,0.22,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
429063,285023_43834,Edmilson Junior,Qatar,FW,1,2,3,0,3,0,0,0.43,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
431211,285023_43820,Mousa Altamari,Jordan,FW,1,3,8,13,4,4,0,1.13,0.89x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
426506,285023_20014,Meschack Elia,Congo DR,FW,1,2,2,0,0,2,0,0.05,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
489689,285023_43970,Lucas Bergvall,Sweden,MF,1,0,2,0,2,0,1,0.68,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
523097,285023_43995,Alexandr Sojka,Czechia,MF,1,0,0,0,0,0,0,0.0,0x,1,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
484139,285023_43972,Baris Alper Yilmaz,Türkiye,FW,1,0,1,100,0,1,0,0.06,16.87x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
430750,285023_43969,Dani Olmo,Spain,FW,1,0,6,0,3,3,0,0.35,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
430751,285023_43969,Mikel Oyarzabal,Spain,FW,1,8,17,24,13,4,5,2.78,1.44x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
433118,285023_43972,Orkun Kokcu,Türkiye,MF,1,0,3,0,2,1,0,0.56,0x,2,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
482974,285023_44037,Ivan Basic,Bosnia and Herzegovina,MF,1,0,4,0,0,4,0,0.15,0x,5,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
447860,285023_43969,Alex Baena,Spain,MF,1,2,5,20,2,3,0,0.18,5.71x,14,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
331463,285023_43978,Tim Payne,New Zealand,DF,1,0,1,0,0,1,0,0.02,0x,3,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
382739,285023_43969,Marcos Llorente,Spain,DF,1,0,0,0,0,0,0,0.0,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
335999,285023_43969,Aymeric Laporte,Spain,DF,1,1,4,0,2,2,2,0.15,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
472908,285023_43995,Vladimir Coufal,Czechia,DF,1,0,1,0,1,0,1,0.02,0x,9,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
430194,285023_44037,Dennis Hadzikadunic,Bosnia and Herzegovina,DF,1,0,0,0,0,0,0,0.0,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
376230,285023_44037,Sead Kolasinac,Bosnia and Herzegovina,DF,1,0,0,0,0,0,0,0.0,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
448131,285023_43971,Ruben Vargas,Switzerland,FW,1,4,6,33,4,2,0,1.31,1.53x,11,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
479106,285023_44005,Akmal Mozgovoy,Uzbekistan,MF,1,0,1,0,1,0,0,0.08,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
498421,285023_43976,Paul Okon Engstler,Australia,MF,1,0,0,0,0,0,0,0.0,0x,1,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
433667,285023_43938,Josip Stanisic,Croatia,DF,1,0,0,0,0,0,0,0.0,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
448152,285023_43960,Cody Gakpo,Netherlands,FW,1,6,10,30,8,2,2,1.35,2.23x,1,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
336098,285023_43960,Memphis Depay,Netherlands,FW,1,0,0,0,0,0,0,0.0,0x,1,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
418550,285023_43963,Rafael Leao,Portugal,FW,1,1,4,25,3,1,0,0.33,3.07x,3,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
483505,285023_43961,David Moller Wolfe,Norway,DF,1,0,0,0,0,0,0,0.0,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
339987,285023_43938,Mateo Kovacic,Croatia,MF,1,4,5,0,1,4,0,0.46,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
395471,285023_43948,Nadiem Amiri,Germany,MF,1,1,2,0,1,1,0,0.26,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
358122,285023_43935,Thomas Meunier,Belgium,DF,1,1,2,0,1,1,0,0.11,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
511015,285023_43948,Nathaniel Brown,Germany,DF,1,2,3,33,3,0,0,0.21,4.87x,11,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:2
484860,285023_43946,Bradley Barcola,France,FW,1,3,6,33,5,1,1,1.28,1.56x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:3,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:3
448202,285023_43942,Jude Bellingham,England,MF,1,6,9,22,8,1,2,1.1,1.83x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:3,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:3
385531,285023_43934,Xaver Schlager,Austria,MF,1,0,1,0,0,1,0,0.02,0x,0,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:3,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:3
395206,285023_43963,Bruno Fernandes,Portugal,MF,1,3,8,0,4,4,0,0.88,0x,7,attack,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:3,urn:gd:story:classification:gcp_attack:competitionId:285023:assists:rank_asc:page:3
