player_id,team_id,player_name,team,position,attempt_at_goal_on_target,attempt_at_goal,attempt_at_goal_conversion_rate,attempt_at_goal_inside_the_penalty_area,attempt_at_goal_outside_the_penalty_area,headed_attempt_at_goal,xg,xg_goal_effiency_rate,corners,own_goals,forced_turnovers,defensive_pressures_applied,direct_defensive_pressures_applied,fouls_against,fouls_for,yellow_cards,red_cards,indirect_red_cards,offsides,passes,passing_accuracy_rate,crosses,crossing_accuracy_rate,linebreaks_attempted_defensive_line,linebreak_attempted_defensive_line_rate,attempted_switches_of_play,switches_of_play_rate,goalkeeper_saves,goalkeeper_defensive_actions_inside_penalty_area,goalkeeper_defensive_actions_outside_penalty_area,offers_to_receive_total,offers_to_receive_in_behind,offers_to_receive_in_between,offers_to_receive_in_front,offers_to_receive_inside,offers_to_receive_outside,receptions_in_behind,receptions_between_midfield_and_defensive_line,receptions_under_pressure,number_of_involvements,avg_speed,speed_runs,sprints,total_distance,attacking_rank,defensive_rank,creativity_rank,attacking_score,defensive_score,creativity_score,competition_stage,goals,total_competition_minutes_played,fdcp_top_scorer_rank,assists,is_active
520070,285023_43843,Melvin Mastil,Algeria,GK,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,,,,,,,,0.0,0.0,261.0,0.0,False
477817,285023_43843,Oussama Benbot,Algeria,GK,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,25,72,0,0,1,0,0,0,0.0,14.0,13.0,1,0,0,1,1,0,0,0,0,40,0.71,6,0,4787.6,,,,,,,,0.0,100.0,814.0,0.0,False
477795,285023_43843,Fares Chaibi,Algeria,MF,3,9,0,4,5,1,0.64,0.0,4,0,30,140,16,3,2,1,0,0,1,244,90,7,0,10,50,3,100,,,,202,38,84,80,121,81,4,46,102,535,6.76,549,177,45534.2,,,,,,,,0.0,403.0,1223.0,0.0,False
441350,285023_43843,Hicham Boudaoui,Algeria,MF,0,0,0,0,0,0,0.0,0.0,0,0,6,54,8,4,1,1,0,0,0,86,97,0,0,4,75,1,100,,,,71,17,24,30,32,39,1,5,29,186,5.55,248,79,17473.1,,,,,,,,0.0,143.0,887.0,0.0,False
430698,285023_43843,Houssem Aouar,Algeria,MF,1,3,0,1,2,0,0.24,0.0,0,0,8,61,7,1,2,0,0,0,0,84,94,1,100,3,100,0,0,,,,106,43,46,17,62,44,4,29,55,185,5.03,253,83,21136.93,115.0,331.0,50.0,5.178653240203857,4.798859596252441,6.383292198181152,,0.0,191.0,173.0,2.0,True
494291,285023_43843,Ibrahim Maza,Algeria,MF,3,11,0,7,4,1,1.06,0.0,0,0,25,153,14,1,5,0,0,0,0,141,79,1,0,13,46,1,100,,,,212,39,122,51,153,59,4,59,136,342,6.85,524,152,44461.44,,,,,,,,0.0,389.0,1208.0,0.0,False
379939,285023_43843,Nabil Bentaleb,Algeria,MF,0,1,0,0,1,0,0.02,0.0,0,0,16,42,12,2,3,0,0,0,0,280,91,1,0,3,67,1,0,,,,92,1,25,66,73,19,0,7,56,589,6.59,405,115,33625.87,,,,,,,,0.0,313.0,1169.0,0.0,False
433679,285023_43843,Ramiz Zerrouki,Algeria,MF,0,0,0,0,0,0,0.0,0.0,0,0,4,23,5,4,0,1,0,0,0,105,92,0,0,2,100,5,100,,,,56,8,12,36,39,17,1,4,37,226,5.59,201,54,15442.6,,,,,,,,0.0,126.0,865.0,0.0,False
433631,285023_43843,Yassine Titraoui,Algeria,MF,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,,,,,,,,0.0,0.0,261.0,0.0,False
431196,285023_43922,Cristian Romero,Argentina,DF,1,1,0,1,0,1,0.12,0.0,0,0,7,27,15,5,2,0,0,0,0,230,97,0,0,1,0,0,0,,,,13,0,1,12,9,4,0,3,47,475,3.77,152,37,24053.86,265.0,47.0,223.0,4.575924396514893,6.41933536529541,5.517880439758301,,0.0,286.0,1087.0,0.0,True
