player_id,player_name,team_id,team,attacking_rank,defensive_rank,creativity_rank,attacking_score,defensive_score,creativity_score,competition_stage,source_tab,story_id,classification
481610,Elliot ANDERSON,43942,England,199.0,13.0,124.0,4.732633113861084,6.997947692871094,5.928210735321045,Round of 16,power_rankings,,
335656,DANILO,43924,Brazil,353.0,82.0,268.0,4.122759819030762,6.133892059326172,5.3020172119140625,Round of 16,power_rankings,,
441333,Gideon MENSAH,43860,Ghana,346.0,89.0,255.0,4.2083048820495605,6.075423717498779,5.365420341491699,Round of 16,power_rankings,,
430442,Harry SOUTTAR,43976,Australia,285.0,60.0,257.0,4.521350860595703,6.307667255401611,5.363766193389893,Round of 16,power_rankings,,
411375,RODRI,43969,Spain,316.0,2.0,137.0,4.421173095703125,7.51129674911499,5.883875370025635,Round of 16,power_rankings,,
484860,Bradley BARCOLA,43946,France,35.0,144.0,94.0,6.093977928161621,5.7429423332214355,6.13118314743042,Round of 16,power_rankings,,
402047,Adrien RABIOT,43946,France,228.0,48.0,90.0,4.641147136688232,6.401098251342773,6.144330024719238,Round of 16,power_rankings,,
428882,Rodrigo DE PAUL,43922,Argentina,301.0,305.0,63.0,4.4813456535339355,4.914112091064453,6.294098854064941,Round of 16,power_rankings,,
430822,Amad DIALLO,43854,Côte d'Ivoire,10.0,281.0,36.0,6.683857440948486,5.075383186340332,6.664727687835693,Round of 16,power_rankings,,
393480,Breel EMBOLO,43971,Switzerland,42.0,286.0,159.0,5.921784400939941,5.025744915008545,5.793568134307861,Round of 16,power_rankings,,
402921,Lisandro MARTINEZ,43922,Argentina,62.0,197.0,207.0,5.695140838623047,5.422027111053467,5.6045074462890625,Round of 16,power_rankings,,
310116,Nicolas OTAMENDI,43922,Argentina,212.0,88.0,225.0,4.683017253875732,6.076232433319092,5.505123615264893,Round of 16,power_rankings,,
464114,Desire DOUE,43946,France,69.0,113.0,82.0,5.614284992218018,5.89695930480957,6.181582450866699,Round of 16,power_rankings,,
335999,Aymeric LAPORTE,43969,Spain,239.0,7.0,176.0,4.621682167053223,7.354978084564209,5.728387355804443,Round of 16,power_rankings,,
428886,Luis DIAZ,43926,Colombia,61.0,304.0,60.0,5.697328090667725,4.919243335723877,6.31362771987915,Round of 16,power_rankings,,
400721,Achraf HAKIMI,43872,Morocco,63.0,39.0,32.0,5.685664176940918,6.490420818328857,6.689000129699707,Round of 16,power_rankings,,
499912,Sebastian BERHALTER,43921,USA,37.0,112.0,31.0,6.068169116973877,5.898803234100342,6.695764064788818,Round of 16,power_rankings,,
477827,DEROY DUARTE,43850,Cabo Verde,89.0,137.0,305.0,5.453007698059082,5.761402606964111,5.100103855133057,Round of 16,power_rankings,,
486130,Habib DIARRA,43879,Senegal,23.0,284.0,95.0,6.319550514221191,5.04205322265625,6.127780914306641,Round of 16,power_rankings,,
448196,Bukayo SAKA,43942,England,71.0,151.0,13.0,5.593658924102783,5.687984466552734,7.0522637367248535,Round of 16,power_rankings,,
423646,PEDRI,43969,Spain,261.0,33.0,69.0,4.5824809074401855,6.568941593170166,6.263537406921387,Round of 16,power_rankings,,
398509,Nico ELVEDI,43971,Switzerland,296.0,34.0,206.0,4.491041660308838,6.567099571228027,5.614940643310547,Round of 16,power_rankings,,
385306,Andres CUBAS,43928,Paraguay,297.0,23.0,347.0,4.488586902618408,6.787336826324463,4.711148262023926,Round of 16,power_rankings,,
430763,Luis ROMO,43911,Mexico,46.0,142.0,126.0,5.9065842628479,5.747804164886475,5.922398567199707,Round of 16,power_rankings,,
486306,Nestory IRANKUNDA,43976,Australia,73.0,300.0,294.0,5.588837623596191,4.942816257476807,5.164575099945068,Round of 16,power_rankings,,
418550,RAFAEL LEAO,43963,Portugal,32.0,298.0,37.0,6.121883869171143,4.957186222076416,6.628959655761719,Round of 16,power_rankings,,
430707,Jules KOUNDE,43946,France,354.0,70.0,226.0,4.110227584838867,6.215023040771484,5.503429412841797,Round of 16,power_rankings,,
448014,Alessandro CIRCATI,43976,Australia,273.0,21.0,147.0,4.5484395027160645,6.81116247177124,5.849121570587158,Round of 16,power_rankings,,
390670,Cyle LARIN,43899,Canada,16.0,279.0,313.0,6.463912487030029,5.081690788269043,5.068778038024902,Round of 16,power_rankings,,
477832,SIDNY LOPES CABRAL,43850,Cabo Verde,57.0,148.0,68.0,5.713917255401611,5.727325439453125,6.268213748931885,Round of 16,power_rankings,,
448290,Willian PACHO,43927,Ecuador,293.0,19.0,351.0,4.496469020843506,6.878905296325684,4.677525997161865,Round of 16,power_rankings,,
431788,Pape GUEYE,43879,Senegal,38.0,256.0,66.0,6.039241313934326,5.199975490570068,6.275955677032471,Round of 16,power_rankings,,
483442,Patrick BERG,43961,Norway,118.0,280.0,59.0,5.12795877456665,5.081413269042969,6.316282749176025,Round of 16,power_rankings,,
405178,Manuel AKANJI,43971,Switzerland,295.0,26.0,129.0,4.4913835525512695,6.675647735595703,5.91132116317749,Round of 16,power_rankings,,
229397,Lionel MESSI,43922,Argentina,2.0,332.0,34.0,8.222007751464844,4.768415927886963,6.673081398010254,Round of 16,power_rankings,,
425701,Johan VASQUEZ,43911,Mexico,274.0,96.0,228.0,4.547868251800537,6.0301995277404785,5.496882915496826,Round of 16,power_rankings,,
430669,Florian WIRTZ,43948,Germany,103.0,199.0,2.0,5.301777362823486,5.41827917098999,7.539622783660889,Round of 16,power_rankings,,
479294,Kaishu SANO,43819,Japan,41.0,258.0,122.0,5.938204288482666,5.194927215576172,5.937811374664307,Round of 16,power_rankings,,
448557,Daichi KAMADA,43819,Japan,90.0,346.0,235.0,5.447715759277344,4.659204483032227,5.46958589553833,Round of 16,power_rankings,,
486317,Guela DOUE,43854,Côte d'Ivoire,252.0,66.0,170.0,4.600255489349365,6.257724285125732,5.754080772399902,Round of 16,power_rankings,,
448312,Nilson ANGULO,43927,Ecuador,29.0,255.0,38.0,6.159590721130371,5.204077243804932,6.601485729217529,Round of 16,power_rankings,,
