player_id,team_id,player_name,team,position,avg_speed,speed_runs,sprints,total_distance,source_tab,story_id,classification
436537,285023_43835,Musab Aljuwayr,Saudi Arabia,MF,7.5,228,57,14572.9,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1
430120,285023_43972,Mert Muldur,Türkiye,DF,7.5,145,57,15133.29,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1
336459,285023_43888,Rani Khedira,Tunisia,MF,7.49,218,49,18577.38,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1
448149,285023_43960,Teun Koopmeiners,Netherlands,MF,7.48,171,45,10777.84,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1
433426,285023_43872,Soufiane Rahimi,Morocco,FW,7.47,100,47,6339.24,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1
482775,285023_43978,Tyler Bindon,New Zealand,DF,7.45,36,14,2355.94,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1
498514,285023_43820,Ali Azaizeh,Jordan,FW,7.43,46,16,3425.14,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1
433679,285023_43843,Ramiz Zerrouki,Algeria,MF,7.43,85,21,7700.25,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1
485655,285023_43946,Michael Olise,France,FW,7.4,368,156,30215.05,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1
498421,285023_43976,Paul Okon Engstler,Australia,MF,7.4,314,91,22043.44,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1
423646,285023_43969,Pedri,Spain,MF,7.36,297,80,21456.88,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1
448128,285023_20014,Charles Pickel,Congo DR,MF,7.34,77,35,5540.28,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1
481180,285023_43817,Shahriyar Moghanloo,IR Iran,FW,7.34,115,36,8629.64,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1
484051,285023_43967,Kenny Mclean,Scotland,MF,7.3,188,56,16438.49,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1
494458,285023_20014,Ngalayel Mukau,Congo DR,MF,7.29,201,61,13731.34,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1
390209,285023_43978,Sarpreet Singh,New Zealand,MF,7.25,288,88,21262.46,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1
433147,285023_43971,Michel Aebischer,Switzerland,MF,7.24,308,110,19862.73,physical,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1,urn:gd:story:classification:gcp_physical:competitionId:285023:avg_speed:rank_asc:page:1
