player_id,team_id,player_name,team,position,goals,assists,total_competition_minutes_played,fdcp_top_scorer_rank,source_tab,story_id,classification
430751,285023_43969,Mikel Oyarzabal,Spain,FW,2,1,149,14,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
419100,285023_43930,Maxi Araujo,Uruguay,MF,2,1,173,15,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
431788,285023_43879,Pape Gueye,Senegal,MF,2,1,186,16,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
448131,285023_43971,Ruben Vargas,Switzerland,FW,2,1,193,17,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
430413,285023_43819,Ayase Ueda,Japan,FW,2,1,245,18,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
448152,285023_43960,Cody Gakpo,Netherlands,FW,2,1,268,19,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
433426,285023_43872,Soufiane Rahimi,Morocco,FW,1,1,53,39,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
493970,285023_43899,Promise David,Canada,FW,1,1,57,40,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
484860,285023_43946,Bradley Barcola,France,FW,1,1,136,41,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
430763,285023_43911,Luis Romo,Mexico,MF,1,1,140,42,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
483161,285023_43855,Mostafa Zico,Egypt,MF,1,1,159,43,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
511015,285023_43948,Nathaniel Brown,Germany,DF,1,1,181,44,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
499912,285023_43921,Sebastian Berhalter,USA,MF,1,1,182,45,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
428886,285023_43926,Luis Diaz,Colombia,FW,1,1,198,46,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
484139,285023_43972,Baris Alper Yilmaz,Türkiye,FW,1,1,200,47,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
384797,285023_43817,Ramin Rezaeian,IR Iran,DF,1,1,204,48,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
464542,285023_43921,Alex Freeman,USA,DF,1,1,231,49,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
492363,285023_43948,Felix Nmecha,Germany,MF,1,1,249,50,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
405522,285023_43819,Keito Nakamura,Japan,MF,1,1,260,51,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
395084,285023_43822,Hwang Inbeom,Korea Republic,MF,1,1,286,52,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
397786,285023_43960,Virgil Van Dijk,Netherlands,DF,1,1,297,53,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
400721,285023_43872,Achraf Hakimi,Morocco,DF,1,1,308,54,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
418881,285023_43926,Cucho Hernandez,Colombia,FW,0,1,20,138,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
430194,285023_44037,Dennis Hadzikadunic,Bosnia and Herzegovina,DF,0,1,33,139,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
504193,285023_43883,Tshepang Moremi,South Africa,FW,0,1,34,140,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:1
395471,285023_43948,Nadiem Amiri,Germany,MF,0,1,37,141,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:2
356704,285023_43926,Juan Quintero,Colombia,MF,0,1,38,142,top_scorer,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:2,urn:gd:story:classification:gcp_top_scorer:competitionId:285023:assists:rank_asc:page:2
