player_id,team_id,player_name,team,position,offers_to_receive_total,offers_to_receive_in_behind,offers_to_receive_in_between,offers_to_receive_in_front,offers_to_receive_inside,offers_to_receive_outside,receptions_in_behind,receptions_between_midfield_and_defensive_line,receptions_under_pressure,number_of_involvements,source_tab,story_id,classification
335656,285023_43924,Danilo,Brazil,DF,97,27,24,46,22,75,3,9,34,344,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:2,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:2
395206,285023_43963,Bruno Fernandes,Portugal,MF,144,32,75,37,87,57,3,41,55,341,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:2,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:2
339510,285023_43921,Tim Ream,USA,DF,7,0,0,7,1,6,0,1,16,338,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:2,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:2
403274,285023_43819,Hiroki Ito,Japan,DF,66,7,13,46,14,52,1,9,43,338,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:2,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:2
441170,285023_43995,Ladislav Krejci,Czechia,DF,44,4,3,37,18,26,1,9,43,333,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:2,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:2
395283,285023_43970,Victor Lindelof,Sweden,DF,30,0,3,27,14,16,0,4,20,331,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:2,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:2
483304,285023_43970,Gustaf Lagerbielke,Sweden,DF,37,0,7,30,4,33,0,8,31,330,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:2,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:2
448612,285023_43872,Bilal El Khannouss,Morocco,MF,102,21,66,15,32,70,5,49,68,329,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:2,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:2
436612,285023_43960,Denzel Dumfries,Netherlands,DF,69,31,25,13,15,54,11,35,49,324,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:2,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:2
441252,285023_43899,Alistair Johnston,Canada,DF,118,36,35,47,28,90,7,34,43,323,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:2,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:2
489704,285023_43963,Renato Veiga,Portugal,DF,33,1,0,32,8,25,0,0,13,321,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:2,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:2
367981,285023_43924,Douglas Santos,Brazil,DF,52,13,19,20,13,39,3,25,52,321,movement,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:2,urn:gd:story:classification:gcp_movement:competitionId:285023:number_of_involvements:rank_asc:page:2
